Title,Platforms,Date,Developers
Rayman Adventures,iOS,"December 5, 2015","Ubisoft Montpellier, Ubisoft Casablanca"
Tom Clancy's EndWar Online,Microsoft Windows,"December 3, 2015",Ubisoft Shanghai
Tom Clancy's Rainbow Six Siege,Microsoft Windows,"December 1, 2015","Ubisoft Montreal, Ubisoft Barcelona, Ubisoft Kyiv, Ubisoft Toronto"
Tom Clancy's Rainbow Six Siege,PlayStation 4,"December 1, 2015","Ubisoft Montreal, Ubisoft Barcelona, Ubisoft Kyiv, Ubisoft Toronto"
Tom Clancy's Rainbow Six Siege,Xbox One,"December 1, 2015","Ubisoft Montreal, Ubisoft Barcelona, Ubisoft Kyiv, Ubisoft Toronto"
Might & Magic: Heroes Online,Linux,"November 24, 2015",Blue Byte
Might & Magic: Heroes Online,Mac OS,"November 24, 2015",Blue Byte
Might & Magic: Heroes Online,Microsoft Windows,"November 24, 2015",Blue Byte
Assassin's Creed Syndicate,Microsoft Windows,"November 18, 2015",Ubisoft Kyiv
Grow Home,Linux,"November 10, 2015",Ubisoft Reflections
Anno 2205,Microsoft Windows,"November 3, 2015",Blue Byte
Anno 2205: Asteroid Miner,Android,"November 2, 2015",Blue Byte
Anno 2205: Asteroid Miner,iOS,"November 2, 2015",Blue Byte
Assassin's Creed Syndicate,PlayStation 4,"October 23, 2015","Ubisoft Quebec, Ubisoft Annecy, Ubisoft Chengdu, Ubisoft Montpellier, Ubisoft Montreal, Ubisoft Reflections, Ubisoft Singapore, Ubisoft Sofia"
Assassin's Creed Syndicate,Xbox One,"October 23, 2015","Ubisoft Quebec, Ubisoft Annecy, Ubisoft Chengdu, Ubisoft Montpellier, Ubisoft Montreal, Ubisoft Reflections, Ubisoft Singapore, Ubisoft Sofia"
Gravity Falls: Legend of the Gnome Gemulets,Nintendo 3DS,"October 20, 2015",Ubisoft Osaka
Just Dance 2016,PlayStation 3,"October 20, 2015","Ubisoft Paris, Ubisoft Milan, Ubisoft Pune"
Just Dance 2016,PlayStation 4,"October 20, 2015","Ubisoft Paris, Ubisoft Milan, Ubisoft Pune"
Just Dance 2016,Wii,"October 20, 2015","Ubisoft Paris, Ubisoft Milan, Ubisoft Pune"
Just Dance 2016,Wii U,"October 20, 2015","Ubisoft Paris, Ubisoft Milan, Ubisoft Pune"
Just Dance 2016,Xbox 360,"October 20, 2015","Ubisoft Paris, Ubisoft Milan, Ubisoft Pune"
Just Dance 2016,Xbox One,"October 20, 2015","Ubisoft Paris, Ubisoft Milan, Ubisoft Pune"
Just Dance: Disney Party 2,Wii,"October 20, 2015",Now Production
Just Dance: Disney Party 2,Wii U,"October 20, 2015",Now Production
Just Dance: Disney Party 2,Xbox 360,"October 20, 2015",Now Production
Just Dance: Disney Party 2,Xbox One,"October 20, 2015",Now Production
The Smurfs 3D,Nintendo 3DS,"October 13, 2015",Magic Pockets
Care Bears: Belly Match,Android,"October 9, 2015",Ubisoft Pune
Care Bears: Belly Match,iOS,"October 9, 2015",Ubisoft Pune
Grow Home,PlayStation 4,"September 1, 2015",Ubisoft Pune
Zombi,PlayStation 4,"August 18, 2015","Ubisoft Montpellier, Ubisoft Bucharest"
Zombi,Xbox One,"August 18, 2015","Ubisoft Montpellier, Ubisoft Bucharest"
Zombi,Microsoft Windows,"August 15, 2015",Straight Right
Toy Soldiers: War Chest,Microsoft Windows,"August 11, 2015",Signal Studios
Toy Soldiers: War Chest,PlayStation 4,"August 11, 2015",Signal Studios
Toy Soldiers: War Chest,Xbox One,"August 11, 2015",Signal Studios
Boggle,PlayStation 4,"August 4, 2015",Frima Studio
